crime_id,entity,entity_classification
68eaa6ad684658d85625cb27,8c,small
68eaa6ad684658d85625cb27,20biia,small
68eaa6ad684658d85625cb27,20,small
68eaa6ad684658d85625cb27,27b,small
68eaa6ad684658d85625cb27,27,small
68eb32963789c28b0ded2b4f,27,small
68eba36edf1555595bce8cfa,8c,small
68eba36edf1555595bce8cfa,20ai,cultivation
68eba36edf1555595bce8cfa,20,small
68eba36edf1555595bce8cfa,27b,small
68eba36edf1555595bce8cfa,27,small
68ebba13f6711b3359d72c52,8c,small
68ebba13f6711b3359d72c52,20ai,cultivation
68ebba13f6711b3359d72c52,20,small
68ebba13f6711b3359d72c52,27b,small
68ebba13f6711b3359d72c52,27,small
68ebce7d684658f5e13bb963,8c,small
68ebce7d684658f5e13bb963,20ai,cultivation
68ebce7d684658f5e13bb963,20,small
68ebce7d684658f5e13bb963,27b,small
68ebce7d684658f5e13bb963,27,small
68ebf0db515d7494661d64cf,8c,small
68ebf0db515d7494661d64cf,22c,commercial
68ebf0db515d7494661d64cf,22,small
68ebf0db515d7494661d64cf,29,small
68ec547581b576b6b5b65a31,8c,small
68ec547581b576b6b5b65a31,20biia,small
68ec547581b576b6b5b65a31,20,small
68ec547581b576b6b5b65a31,27,small
68ec80fa683a082bd6656bef,8c,small
